pair,frame,left_arm_raise_bad,left_arm_raise_good,right_arm_raise_bad,right_arm_raise_good,left_elbow_angle_bad,left_elbow_angle_good,right_elbow_angle_bad,right_elbow_angle_good,torso_lean_bad,torso_lean_good,arm_symmetry_bad,arm_symmetry_good,left_wrist_above_shoulder_bad,left_wrist_above_shoulder_good,right_wrist_above_shoulder_bad,right_wrist_above_shoulder_good
1,0,67.73077728660923,56.225246069113744,20.581573864186446,22.66149752359065,136.11303285044517,132.25742723964956,113.47964128833759,109.81339396315892,110.61740114645836,91.00090912987,47.14920342242278,33.5637485455231,-0.01969665288925171,-0.057464152574539185,0.021428734064102173,-0.040145277976989746
1,1,57.386610570621535,52.52726729086948,22.66858759596418,27.222080362963126,138.07529136942316,136.18023362528248,121.2230099366901,108.31608227326441,115.00616347038981,90.62158840570466,34.71802297465736,25.305186927906355,-0.019666314125061035,-0.05748629570007324,0.020602822303771973,-0.0414147675037384
1,2,44.556895397363675,45.836143353206566,22.440273043932063,28.08554195090797,137.83838391253423,134.57081931618387,130.26346044346002,108.00111455174849,115.54164500837514,90.51545392164988,22.116622353431612,17.750601402298596,-0.019766539335250854,-0.05852532386779785,0.02013450860977173,-0.04175424575805664
1,3,53.58740797399222,46.372653793544444,21.62892714305375,28.417324317842898,136.03892934229097,137.6265916486157,115.44917998601457,110.21849865185538,113.49114537979918,90.36097361572614,31.95848083093847,17.955329475701546,-0.019532084465026855,-0.06170026957988739,0.020069271326065063,-0.041802555322647095
1,4,56.311102869920646,46.471704754055594,21.398225446695108,24.537509346786926,137.28102609501713,135.23842274808365,121.52767856901383,113.4377565380017,113.83408742607577,90.56255820149792,34.91287742322554,21.934195407268668,-0.01928851008415222,-0.061799317598342896,0.019998401403427124,-0.04074472188949585
1,5,62.15222739419079,44.80667294064686,21.092087543135456,27.0183636374079,138.18743721475585,132.97582370094014,115.92312781480233,108.65670916317994,113.39530408391535,91.05901591738407,41.06013985105533,17.78830930323896,-0.0191461443901062,-0.06116694211959839,0.020291626453399658,-0.03968459367752075
1,6,64.29575759062622,44.26291317540906,24.045400638359972,26.302044597806855,137.64154636085271,133.5819194357016,124.56560680381827,109.04585626720832,112.83408461870492,91.17608180502596,40.25035695226625,17.960868577602206,-0.01837065815925598,-0.06195826828479767,0.020683258771896362,-0.039512455463409424
1,7,67.92767048500433,46.941848644856194,21.596226419216105,25.59638664642034,138.15635983205922,136.43485023659247,116.39063724884733,108.27752700620867,112.72989804763786,91.36960842688026,46.33144406578822,21.345461998435855,-0.01610124111175537,-0.061255067586898804,0.020954489707946777,-0.038968056440353394
1,8,68.5810857970063,48.320536651230334,20.772756442142544,25.222579431967592,135.9708940327021,138.36139722909212,107.65114484539288,109.82376983295704,110.58027827267314,91.4578879113824,47.80832935486375,23.097957219262742,-0.012670516967773438,-0.061026036739349365,0.021037131547927856,-0.03806743025779724
1,9,76.27533958399468,49.927777636789436,22.45769659004643,23.177949232912628,137.23300224335972,141.35688865942006,103.95095796811118,115.05738088986853,108.88788387810767,91.71170185862375,53.81764299394825,26.74982840387681,-0.011573046445846558,-0.061020299792289734,0.02017951011657715,-0.036248624324798584
